Contig	LCAStar	LCAStar_p	LCAStar_dist	LCAStar_WTD	Majority	Majority_p	Majority_dist	Majority_WTD	LCASquared	LCASquared_dist	LCASquared_WTD	Original
GEBA_SAG_0000001_A7_23	candidate division pSL4 archaeon JGI 0000001-A7	0.024	0	0	candidate division pSL4 archaeon JGI 0000001-A7	0.024	0	0	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_22	unclassified Thaumarchaeota (miscellaneous)	0.013	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-A7	1.0	0	0	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_21	candidate division pSL4 archaeon JGI 0000001-A7	0.165	0	0	candidate division pSL4 archaeon JGI 0000001-A7	0.165	0	0	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_20	candidate division pSL4 archaeon JGI 0000001-A7	0.007	0	0	candidate division pSL4 archaeon JGI 0000001-A7	0.007	0	0	"Archaea" Woese et al. 1990	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_27	candidate division pSL4 archaeon JGI 0000001-A7	0.008	0	0	candidate division pSL4 archaeon JGI 0000001-A7	0.008	0	0	Aigarchaeota archaeon JGI 0000001-A7	0	0	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_26	candidate division pSL4 archaeon JGI 0000001-A7	0.019	0	0	candidate division pSL4 archaeon JGI 0000001-A7	0.019	0	0	Aigarchaeota archaeon JGI 0000001-A7	0	0	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_25	unclassified Thaumarchaeota (miscellaneous)	0.019	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-A7	0.56	0	0	unclassified Thaumarchaeota (miscellaneous)	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_24	unclassified Thaumarchaeota (miscellaneous)	0.165	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-A7	0.306	0	0	root	7	-1.984375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_29	candidate division pSL4 archaeon JGI 0000001-A7	0.654	0	0	candidate division pSL4 archaeon JGI 0000001-A7	0.654	0	0	unclassified Thaumarchaeota (miscellaneous)	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_28	unclassified Thaumarchaeota (miscellaneous)	0.306	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-A7	0.56	0	0	"Archaea" Woese et al. 1990	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-A7
